trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
201,False,"{'a': 0.5, 'e': 1}",25,0,-163.05685015030625,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
202,False,"{'a': 0.5, 'e': 1}",30,0,-163.02633198845916,"{0: 21, 1: 2, 2: 2, 3: 2, 4: 3}",0
203,False,"{'a': 0.5, 'e': 1}",30,0,-171.13979950015786,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
204,False,"{'a': 0.5, 'e': 1}",20,0,-100.47737604847119,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
205,False,"{'a': 0.5, 'e': 1}",30,0,-136.1233472707005,"{0: 19, 1: 3, 2: 4, 3: 3, 4: 1}",0
206,False,"{'a': 0.5, 'e': 1}",25,0,-27.82874746897598,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
207,False,"{'a': 0.5, 'e': 1}",25,0,-22.399011841420254,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
208,False,"{'a': 0.5, 'e': 1}",30,0,-148.9059096069591,"{0: 17, 1: 3, 2: 7, 3: 2, 4: 1}",0
209,False,"{'a': 0.5, 'e': 1}",20,0,-94.83535216358375,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
210,False,"{'a': 0.5, 'e': 1}",20,2,-8.480499809115429,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
211,False,"{'a': 0.5, 'e': 1}",20,0,-108.12508788704565,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
212,False,"{'a': 0.5, 'e': 1}",25,0,-44.28813514333134,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
213,False,"{'a': 0.5, 'e': 1}",30,0,-127.84073204751759,"{0: 15, 1: 7, 2: 7, 3: 0, 4: 1}",0
214,False,"{'a': 0.5, 'e': 1}",25,0,-170.7753690604696,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
215,False,"{'a': 0.5, 'e': 1}",25,0,-166.88313063541878,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
216,False,"{'a': 0.5, 'e': 1}",20,0,-160.09665638495076,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
217,False,"{'a': 0.5, 'e': 1}",25,0,-119.37390072797622,"{0: 14, 1: 3, 2: 4, 3: 4, 4: 0}",0
218,False,"{'a': 0.5, 'e': 1}",20,0,-179.676596843883,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
219,False,"{'a': 0.5, 'e': 1}",20,0,-99.73343164681762,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
220,False,"{'a': 0.5, 'e': 1}",20,0,-185.46046233486803,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
221,False,"{'a': 0.5, 'e': 1}",20,0,-145.60543607394266,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 3}",0
222,False,"{'a': 0.5, 'e': 1}",20,0,-179.24183897387326,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
223,False,"{'a': 0.5, 'e': 1}",20,3,-64.13146932673011,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 0}",1
224,False,"{'a': 0.5, 'e': 1}",30,0,-191.8805869103091,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
225,False,"{'a': 0.5, 'e': 1}",25,0,-164.33800650269364,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
226,False,"{'a': 0.5, 'e': 1}",20,0,-110.98163612465655,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
227,False,"{'a': 0.5, 'e': 1}",25,0,-147.93929943680737,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
228,False,"{'a': 0.5, 'e': 1}",25,0,-70.09781956288815,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
229,False,"{'a': 0.5, 'e': 1}",20,0,-145.73992574818556,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
230,False,"{'a': 0.5, 'e': 1}",30,0,-199.76325274009966,"{0: 16, 1: 2, 2: 8, 3: 2, 4: 2}",0
231,False,"{'a': 0.5, 'e': 1}",25,0,-182.09972894599954,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
232,False,"{'a': 0.5, 'e': 1}",25,0,-199.8102162234131,"{0: 12, 1: 1, 2: 9, 3: 0, 4: 3}",0
233,False,"{'a': 0.5, 'e': 1}",25,0,-67.30409179831018,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
234,False,"{'a': 0.5, 'e': 1}",35,0,-122.72055674747328,"{0: 24, 1: 2, 2: 6, 3: 2, 4: 1}",0
235,False,"{'a': 0.5, 'e': 1}",30,15,-78.63413440644982,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 1}",1
236,False,"{'a': 0.5, 'e': 1}",25,0,-77.29206473315195,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
237,False,"{'a': 0.5, 'e': 1}",20,9,-27.504496834764463,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
238,False,"{'a': 0.5, 'e': 1}",30,0,-242.4431946260524,"{0: 16, 1: 0, 2: 10, 3: 0, 4: 4}",0
239,False,"{'a': 0.5, 'e': 1}",25,0,-39.584804164794875,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
240,False,"{'a': 0.5, 'e': 0.0011}",25,10,27.05353582520879,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.5, 'e': 0.0011}",20,0,30.49498186993193,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
242,False,"{'a': 0.5, 'e': 0.0011}",20,0,28.16107093065889,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
243,False,"{'a': 0.5, 'e': 0.0011}",20,7,26.14112142596743,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.5, 'e': 0.0011}",20,12,2.6878670710425285,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
245,False,"{'a': 0.5, 'e': 0.0011}",20,12,17.606561947762714,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.5, 'e': 0.0011}",30,15,24.81031179250303,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.5, 'e': 0.0011}",20,15,9.591178764049447,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.5, 'e': 0.0011}",25,18,10.560729035987336,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.5, 'e': 0.0011}",20,2,27.200980237521538,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.5, 'e': 0.0011}",20,16,9.25548363433494,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.5, 'e': 0.0011}",20,2,24.63655802620295,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.5, 'e': 0.0011}",25,15,5.740332154565323,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
253,False,"{'a': 0.5, 'e': 0.0011}",20,12,14.415646454740694,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.5, 'e': 0.0011}",20,16,5.623560964968375,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.5, 'e': 0.0011}",20,9,19.83215870687509,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.5, 'e': 0.0011}",30,16,15.332861038826564,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
257,False,"{'a': 0.5, 'e': 0.0011}",25,17,16.90408740972577,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.5, 'e': 0.0011}",20,16,6.405183022348518,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.5, 'e': 0.0011}",20,0,30.77145563512596,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
260,False,"{'a': 0.5, 'e': 0.0011}",25,17,17.059560673988802,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.5, 'e': 0}",20,10,19.123069322446778,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': 0}",20,13,12.529097963012518,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 0}",20,15,9.0762182192587,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': 0}",25,12,23.324419693067497,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 0}",20,9,18.18838423257258,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': 0}",35,19,30.834955879373783,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': 0}",20,0,31.123675829554802,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 0}",30,18,22.15101289299402,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': 0}",30,12,34.302759012339784,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 0}",20,15,10.879476309284843,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 0}",20,12,13.989135956805006,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
