trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
46,False,"{'a': 0.5, 'e': 1}",30,0,-184.10954929009515,"{0: 18, 1: 1, 2: 8, 3: 0, 4: 3}",0
47,False,"{'a': 0.5, 'e': 1}",30,0,-174.27589344854692,"{0: 20, 1: 0, 2: 6, 3: 1, 4: 3}",0
48,False,"{'a': 0.5, 'e': 1}",25,0,-211.86910793350245,"{0: 9, 1: 2, 2: 11, 3: 1, 4: 2}",0
49,False,"{'a': 0.5, 'e': 1}",25,5,-223.0037419683528,"{0: 10, 1: 2, 2: 2, 3: 2, 4: 4}",1
50,False,"{'a': 0.5, 'e': 1}",20,4,17.879818281599395,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 1}",20,0,-88.15404751393518,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
52,False,"{'a': 0.5, 'e': 1}",30,0,-146.59326313104685,"{0: 18, 1: 3, 2: 4, 3: 4, 4: 1}",0
53,False,"{'a': 0.5, 'e': 1}",25,4,-144.55050869291145,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 2}",1
54,False,"{'a': 0.5, 'e': 1}",20,0,-59.12452892837709,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': 1}",20,0,-84.82739186428523,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 1}",20,0,-89.23326026451343,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
57,False,"{'a': 0.5, 'e': 1}",20,0,-163.62580928849633,"{0: 8, 1: 2, 2: 6, 3: 3, 4: 1}",0
58,False,"{'a': 0.5, 'e': 1}",20,0,-148.5995146407186,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
59,False,"{'a': 0.5, 'e': 1}",20,0,-193.08692350768806,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
60,False,"{'a': 0.5, 'e': 1}",25,0,-83.47926507446522,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
61,False,"{'a': 0.5, 'e': 1}",30,0,-161.98642068750362,"{0: 19, 1: 0, 2: 8, 3: 1, 4: 2}",0
62,False,"{'a': 0.5, 'e': 1}",25,0,-182.51941138321223,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
63,False,"{'a': 0.5, 'e': 1}",20,11,-30.57261026041261,"{0: 4, 1: 3, 2: 2, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 1}",30,0,-125.33894216336387,"{0: 19, 1: 0, 2: 9, 3: 1, 4: 1}",0
65,False,"{'a': 0.5, 'e': 1}",20,0,-24.62707028822349,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 1}",30,0,-127.64041138011817,"{0: 16, 1: 5, 2: 6, 3: 3, 4: 0}",0
67,False,"{'a': 0.5, 'e': 1}",25,0,-77.22170209478885,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
68,False,"{'a': 0.5, 'e': 1}",20,0,-95.62625447114651,"{0: 11, 1: 3, 2: 3, 3: 3, 4: 0}",0
69,False,"{'a': 0.5, 'e': 1}",20,0,-82.54708508194544,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
70,False,"{'a': 0.5, 'e': 1}",25,0,-96.97774225468291,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
71,False,"{'a': 0.5, 'e': 1}",25,0,-63.69230266487493,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
72,False,"{'a': 0.5, 'e': 1}",25,0,-107.24658851280697,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
73,False,"{'a': 0.5, 'e': 1}",25,0,-106.16190832424178,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
74,False,"{'a': 0.5, 'e': 1}",20,0,-151.39291120927572,"{0: 8, 1: 1, 2: 8, 3: 2, 4: 1}",0
75,False,"{'a': 0.5, 'e': 1}",20,0,-69.21958509584516,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
76,False,"{'a': 0.5, 'e': 1}",25,0,-167.41860749719672,"{0: 12, 1: 7, 2: 3, 3: 0, 4: 3}",0
77,False,"{'a': 0.5, 'e': 1}",20,5,-32.386778675943326,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
78,False,"{'a': 0.5, 'e': 1}",25,0,-82.13100894662932,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
79,False,"{'a': 0.5, 'e': 1}",35,13,-47.946637550835206,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 1}",1
80,False,"{'a': 0.5, 'e': 1}",30,0,-173.75452676976417,"{0: 15, 1: 4, 2: 6, 3: 4, 4: 1}",1
81,False,"{'a': 0.5, 'e': 1}",20,0,-67.65915787824126,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
82,False,"{'a': 0.5, 'e': 1}",20,0,-62.441133565804286,"{0: 12, 1: 5, 2: 1, 3: 2, 4: 0}",0
83,False,"{'a': 0.5, 'e': 1}",20,0,-148.01556817817044,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
84,False,"{'a': 0.5, 'e': 1}",20,0,-69.53484066073288,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
85,False,"{'a': 0.5, 'e': 1}",30,0,-113.85743241428577,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
86,False,"{'a': 0.5, 'e': 1}",25,0,-142.74726189736117,"{0: 18, 1: 0, 2: 2, 3: 3, 4: 2}",0
87,False,"{'a': 0.5, 'e': 1}",20,0,-118.51055424280077,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
88,False,"{'a': 0.5, 'e': 1}",25,0,-135.0749287576119,"{0: 15, 1: 2, 2: 4, 3: 3, 4: 1}",0
89,False,"{'a': 0.5, 'e': 1}",20,0,-135.4501740484393,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
90,False,"{'a': 0.5, 'e': 1}",25,0,-56.99509152648666,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
91,False,"{'a': 0.5, 'e': 1}",20,0,-165.51010923366687,"{0: 8, 1: 1, 2: 9, 3: 0, 4: 2}",0
92,False,"{'a': 0.5, 'e': 1}",35,0,-136.01833153528776,"{0: 20, 1: 6, 2: 7, 3: 1, 4: 1}",0
93,False,"{'a': 0.5, 'e': 1}",25,7,-55.610217016700304,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 0}",1
94,False,"{'a': 0.5, 'e': 1}",25,0,-84.06863193341174,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
95,False,"{'a': 0.5, 'e': 1}",20,0,-95.89614143404991,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
96,False,"{'a': 0.5, 'e': 1}",20,0,-116.64714812719305,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
97,False,"{'a': 0.5, 'e': 1}",25,0,-114.81502056891671,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
98,False,"{'a': 0.5, 'e': 1}",20,0,-171.0868727873878,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 2}",0
99,False,"{'a': 0.5, 'e': 1}",20,0,-85.81620801737532,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
100,False,"{'a': 0.5, 'e': 1}",30,0,-169.98244367731144,"{0: 15, 1: 6, 2: 7, 3: 0, 4: 2}",0
101,False,"{'a': 0.5, 'e': 1}",20,0,-155.7527742388467,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
102,False,"{'a': 0.5, 'e': 1}",20,0,-180.48421663892395,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
103,False,"{'a': 0.5, 'e': 1}",20,0,-75.12506293965386,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
104,False,"{'a': 0.5, 'e': 1}",20,0,-78.46103958925895,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
105,False,"{'a': 0.5, 'e': 1}",20,0,-113.91357882621612,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
106,False,"{'a': 0.5, 'e': 1}",25,0,-39.54044503855532,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
107,False,"{'a': 0.5, 'e': 1}",30,0,-226.09883559302352,"{0: 18, 1: 2, 2: 4, 3: 2, 4: 4}",0
108,False,"{'a': 0.5, 'e': 1}",20,0,-48.69800282131286,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
109,False,"{'a': 0.5, 'e': 1}",25,0,-133.9885730358581,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
110,False,"{'a': 0.5, 'e': 1}",25,0,-73.99966021267643,"{0: 17, 1: 5, 2: 1, 3: 1, 4: 1}",0
